episode,step,x,y
4.00,27.00,409.04,172.54
4.00,28.00,427.74,189.14
4.00,29.00,452.74,188.86
4.00,30.00,477.07,194.61
4.00,31.00,499.63,205.38
4.00,32.00,492.96,229.48
4.00,33.00,485.30,253.27
4.00,34.00,498.94,232.32
4.00,35.00,513.82,252.40
4.00,36.00,535.71,264.48
4.00,37.00,558.50,254.19
4.00,38.00,583.48,255.00
4.00,39.00,572.89,277.64
4.00,40.00,592.97,292.53
4.00,41.00,617.79,295.59
4.00,42.00,641.37,287.28
4.00,43.00,659.04,304.96
4.00,44.00,683.84,308.13
4.00,45.00,704.86,294.59
4.00,46.00,722.53,312.27
4.00,47.00,709.90,333.84
4.00,48.00,701.03,310.47
4.00,49.00,726.01,311.36
4.00,50.00,744.36,328.34
4.00,51.00,756.14,306.29
4.00,52.00,781.13,306.79
4.00,53.00,759.93,293.54
4.00,54.00,783.71,301.27
4.00,55.00,801.38,318.95
4.00,56.00,825.87,323.96
4.00,57.00,815.70,346.80
4.00,58.00,837.12,359.69
4.00,59.00,824.71,381.39
4.00,60.00,843.52,397.85
4.00,61.00,822.33,411.12
4.00,62.00,823.78,436.07
4.00,63.00,848.48,432.18
4.00,64.00,828.14,417.64
4.00,65.00,803.28,414.96
4.00,66.00,794.72,438.45
4.00,67.00,812.34,420.71
4.00,68.00,837.29,422.35
4.00,69.00,846.35,399.05
4.00,70.00,847.16,424.04
4.00,71.00,866.04,440.42
4.00,72.00,884.48,423.54
4.00,73.00,904.73,438.20
4.00,74.00,921.92,456.35
4.00,75.00,944.38,467.32
4.00,76.00,964.28,452.19
4.00,77.00,970.31,476.45
4.00,78.00,990.35,491.40
4.00,79.00,1000.00,490.17
4.00,80.00,1000.00,472.49
4.00,81.00,993.78,448.28
4.00,82.00,1000.00,460.87
4.00,83.00,1000.00,435.93
4.00,84.00,1000.00,419.56
4.00,85.00,1000.00,407.65
4.00,86.00,1000.00,425.32
4.00,87.00,1000.00,434.74
4.00,88.00,995.14,459.26
4.00,89.00,1000.00,454.34
4.00,90.00,997.66,429.45
4.00,91.00,1000.00,434.04
4.00,92.00,1000.00,436.78
4.00,93.00,1000.00,419.10
4.00,94.00,1000.00,438.95
4.00,95.00,1000.00,425.96
4.00,96.00,1000.00,409.83
4.00,97.00,1000.00,392.16
4.00,98.00,1000.00,409.83
4.00,99.00,1000.00,401.19
4.00,100.00,1000.00,419.43
5.00,1.00,84.19,206.31
5.00,2.00,101.87,223.99
5.00,3.00,119.55,241.66
